target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0,,,0.8533581255076643,0.789431545236189,0.21056845476381106,0.7546242097869351,0.24537579021306485,0.48475909537856443,0.9245553643144004,0.07544463568559955,3223,1048,263,986
F,,0,0,M,,0.8462228392032158,0.7945544554455446,0.20544554455445543,0.7328963539532978,0.26710364604670217,0.49613601236476046,0.9150895140664962,0.08491048593350384,1789,652,166,642
F,,0,0,F,,0.8616457876411039,0.780045351473923,0.2199546485260771,0.7836065573770492,0.21639344262295082,0.4648648648648649,0.9366427171783148,0.06335728282168518,1434,396,97,344
F,,0,0,,0-20,0.8801509433962265,0.8333333333333334,0.16666666666666666,0.7547169811320755,0.24528301886792453,0.6578947368421053,0.8888888888888888,0.1111111111111111,200,65,25,125
F,,0,0,,20-40,0.8660030000048231,0.7962962962962963,0.2037037037037037,0.764813126709207,0.23518687329079307,0.5384615384615384,0.915938864628821,0.08406113537117904,839,258,77,301
F,,0,0,,40-60,0.8509651665502965,0.7726269315673289,0.22737306843267108,0.7673056443024494,0.2326943556975506,0.44472681067344344,0.9332901554404145,0.0667098445595855,1441,437,103,350
F,,0,0,,60-80,0.825583773917422,0.78515625,0.21484375,0.7200402819738168,0.2799597180261833,0.4196242171189979,0.9285714285714286,0.07142857142857142,715,278,55,201
F,,0,0,,80+,0.8355263157894737,0.75,0.25,0.7368421052631579,0.2631578947368421,0.47368421052631576,0.9032258064516129,0.0967741935483871,28,10,3,9
F,,0,0,M,0-20,0.8779581352134229,0.8598130841121495,0.14018691588785046,0.7309941520467836,0.26900584795321636,0.6666666666666666,0.8928571428571429,0.10714285714285714,125,46,15,92
F,,0,0,M,20-40,0.8563612375827815,0.78515625,0.21484375,0.7334437086092715,0.26655629139072845,0.5552486187845304,0.8895582329317269,0.11044176706827309,443,161,55,201
F,,0,0,M,40-60,0.8441355781066753,0.7854671280276817,0.21453287197231835,0.742296918767507,0.25770308123249297,0.45129224652087474,0.9276546091015169,0.07234539089848308,795,276,62,227
