target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0,,,0.8677154788686956,0.7830264211369096,0.21697357886309046,0.789744790447202,0.21025520955279794,0.5213219616204691,0.9256311745334797,0.07436882546652031,3373,898,271,978
F,,0,0,M,,0.8611807975144095,0.7821782178217822,0.21782178217821782,0.7742728390004097,0.22572716099959034,0.5342349957734573,0.914811229428848,0.08518877057115198,1890,551,176,632
F,,0,0,F,,0.8752004262542903,0.7845804988662132,0.21541950113378686,0.8103825136612022,0.18961748633879782,0.49927849927849927,0.9397972116603295,0.060202788339670466,1483,347,95,346
F,,0,0,,0-20,0.902817610062893,0.8733333333333333,0.12666666666666668,0.7886792452830189,0.21132075471698114,0.7005347593582888,0.9166666666666666,0.08333333333333333,209,56,19,131
F,,0,0,,20-40,0.8852980471029696,0.7883597883597884,0.21164021164021163,0.8085688240656336,0.19143117593436645,0.5866141732283464,0.9172699069286453,0.0827300930713547,887,210,80,298
F,,0,0,,40-60,0.8613456144928967,0.7637969094922737,0.23620309050772628,0.7997870074547391,0.20021299254526093,0.4792243767313019,0.9334990677439403,0.06650093225605966,1502,376,107,346
F,,0,0,,60-80,0.8305049408358509,0.7578125,0.2421875,0.7522658610271903,0.24773413897280966,0.4409090909090909,0.92336217552534,0.07663782447466007,747,246,62,194
F,,0,0,,80+,0.8399122807017543,0.75,0.25,0.7368421052631579,0.2631578947368421,0.47368421052631576,0.9032258064516129,0.0967741935483871,28,10,3,9
F,,0,0,M,0-20,0.9005847953216374,0.8878504672897196,0.11214953271028037,0.7660818713450293,0.23391812865497075,0.7037037037037037,0.916083916083916,0.08391608391608392,131,40,12,95
F,,0,0,M,20-40,0.8785311465231789,0.78125,0.21875,0.7996688741721855,0.20033112582781457,0.6230529595015576,0.8961038961038961,0.1038961038961039,483,121,56,200
F,,0,0,M,40-60,0.8539960390153754,0.7785467128027682,0.22145328719723184,0.7740429505135388,0.22595704948646125,0.4817987152034261,0.9283314669652856,0.07166853303471445,829,242,64,225
F,,0,0,M,60-80,0.8197566692711241,0.7225806451612903,0.27741935483870966,0.754325259515571,0.24567474048442905,0.4409448818897638,0.9102296450939458,0.08977035490605428,436,142,43,112
F,,0,0,M,80+,0.05882352941176472,0.0,1.0,0.6470588235294118,0.35294117647058826,0.0,0.9166666666666666,0.08333333333333333,11,6,1,0
