target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,0-20,0,0,,,0.8495581292943511,0.8302642113690952,0.16973578863090472,0.7171622570826505,0.2828377429173496,0.4619153674832962,0.935267175572519,0.06473282442748092,3063,1208,212,1037
F,0-20,0,0,M,,0.8422858672594011,0.8205445544554455,0.17945544554455445,0.7046292503072511,0.29537074969274885,0.4790462427745665,0.9222520107238605,0.0777479892761394,1720,721,145,663
F,0-20,0,0,F,,0.8589197427604921,0.8480725623582767,0.15192743764172337,0.733879781420765,0.26612021857923496,0.4343786295005807,0.9524822695035461,0.0475177304964539,1343,487,67,374
F,0-20,0,0,,0-20,0.892754716981132,0.88,0.12,0.7547169811320755,0.24528301886792453,0.6700507614213198,0.9174311926605505,0.08256880733944955,200,65,18,132
F,0-20,0,0,,20-40,0.8561951064230007,0.8492063492063492,0.15079365079365079,0.6946216955332726,0.3053783044667274,0.4893292682926829,0.9304029304029304,0.0695970695970696,762,335,57,321
F,0-20,0,0,,40-60,0.8485989745325802,0.8123620309050773,0.18763796909492272,0.7374866879659212,0.2625133120340788,0.4274099883855981,0.9421768707482994,0.05782312925170068,1385,493,85,368
F,0-20,0,0,,60-80,0.8137234076032226,0.80859375,0.19140625,0.6928499496475328,0.3071500503524673,0.404296875,0.9335142469470827,0.06648575305291723,688,305,49,207
F,0-20,0,0,,80+,0.8201754385964912,0.75,0.25,0.7368421052631579,0.2631578947368421,0.47368421052631576,0.9032258064516129,0.0967741935483871,28,10,3,9
F,0-20,0,0,M,0-20,0.8961031863146964,0.8878504672897196,0.11214953271028037,0.7660818713450293,0.23391812865497075,0.7037037037037037,0.916083916083916,0.08391608391608392,131,40,12,95
F,0-20,0,0,M,20-40,0.8464080608443707,0.8359375,0.1640625,0.6572847682119205,0.34271523178807944,0.5083135391923991,0.9043280182232346,0.09567198177676538,397,207,42,214
F,0-20,0,0,M,40-60,0.8396738164700712,0.8096885813148789,0.1903114186851211,0.7189542483660131,0.28104575163398693,0.4373831775700935,0.9333333333333333,0.06666666666666667,770,301,55,234
F,0-20,0,0,M,60-80,0.8040406295345461,0.7741935483870968,0.22580645161290322,0.7076124567474048,0.29238754325259514,0.41522491349480967,0.9211711711711712,0.07882882882882883,409,169,35,120
F,0-20,0,0,M,80+,0.23529411764705888,0.0,1.0,0.7647058823529411,0.23529411764705882,0.0,0.9285714285714286,0.07142857142857142,13,4,1,0
F,0-20,0,0,F,0-20,0.8866897575457694,0.8604651162790697,0.13953488372093023,0.7340425531914894,0.26595744680851063,0.5967741935483871,0.92,0.08,69,25,6,37
F,0-20,0,0,F,20-40,0.8658431150866226,0.8770491803278688,0.12295081967213115,0.7403651115618661,0.25963488843813387,0.4553191489361702,0.9605263157894737,0.039473684210526314,365,128,15,107
F,0-20,0,0,F,40-60,0.8603454528969081,0.8170731707317073,0.18292682926829268,0.7620817843866171,0.2379182156133829,0.4110429447852761,0.9534883720930233,0.046511627906976744,615,192,30,134
F,0-20,0,0,F,60-80,0.8294166766074198,0.8613861386138614,0.13861386138613863,0.672289156626506,0.327710843373494,0.3901345291479821,0.9522184300341296,0.04778156996587031,279,136,14,87
F,0-20,0,0,F,80+,0.8484848484848485,0.8181818181818182,0.18181818181818182,0.7142857142857143,0.2857142857142857,0.6,0.8823529411764706,0.11764705882352941,15,6,2,9
F,0-20,0,0.05,,,0.8629988045692935,0.7534027221777422,0.2465972778222578,0.8122219620697729,0.18777803793022713,0.5398737808376363,0.918453799311623,0.08154620068837702,3469,802,308,941
F,0-20,0,0.05,M,,0.8589762960318973,0.7586633663366337,0.24133663366336633,0.7963949201147071,0.20360507988529292,0.5522522522522523,0.908835904628331,0.091164095371669,1944,497,195,613
F,0-20,0,0.05,F,,0.8668996195928281,0.7437641723356009,0.2562358276643991,0.8333333333333334,0.16666666666666666,0.5181674565560821,0.931013431013431,0.06898656898656899,1525,305,113,328
F,0-20,0,0.05,,0-20,0.9046792452830188,0.8933333333333333,0.10666666666666667,0.7924528301886793,0.20754716981132076,0.708994708994709,0.9292035398230089,0.07079646017699115,210,55,16,134
